,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,sanitized_transaction_id,mhy_idr_merchandise_hie,tpc_idr_touchpoint_channel_type,but_num_business_unit,the_to_type,tdt_type_detail,mdl_label,family_label,dpt_label,qty,turnover,sanitized_ticket_number,title,body,note,published_at,translated_body,translated_title,translated,text,label,topics,topic,topic_name,x,y,z,x1,y1
0,0,0,0,REYOn3bMWvjpZWAy6tBBQ/TWNRhyXokY9joak2YSTVE=,1,10,1161.0,offline,sale,BOWL CYCLING HELMET 500 BLUE,URBAN HELMET,URBAN/FOLDING B,1,39.99,REYOn3bMWvjpZWAy6tBBQ/TWNRhyXokY9joak2YSTVE=,Veilig gevoel,Prettig te dragen,5,2023-11-25 11:49:10,,,Safe feeling. Pleasant to wear,Veilig gevoel. Prettig te dragen,Biking,5,5,Bike Clothing,7.4051585,8.910352,12.3432045,0.009770018,-1.3523021
1,1,1,1,REYOn3bMWvjpZWAy6tBBQ/TWNRhyXokY9joak2YSTVE=,1,10,1161.0,offline,sale,BOWL CYCLING HELMET 500 BLUE,URBAN HELMET,URBAN/FOLDING B,1,39.99,REYOn3bMWvjpZWAy6tBBQ/TWNRhyXokY9joak2YSTVE=,,Vind het een fijne winkel en de prijzen zijn betaalbaar,5,2023-11-25 11:46:44,,,. I think it's a nice store and the prices are affordable,. Vind het een fijne winkel en de prijzen zijn betaalbaar,Biking,11,11,Store and Staff,12.184799,7.969867,9.937348,-5.7254806,0.70905155
2,3,3,3,bkbm99tEsDVVuGrSH9Z7NnCCCitg2zxsN6Atlm4gvX8=,1,8,2224.0,offline,sale,FOLDING BIKE OXYLANE 100 BLACK,COMPACT BIKE,URBAN/FOLDING B,1,199.99,bkbm99tEsDVVuGrSH9Z7NnCCCitg2zxsN6Atlm4gvX8=,Fijn en licht in gebruik.,Nog slechts een paar keer gebruikt. Maar snel te monteren en niet zwaar. Dat laatste is prettig als je van perron naar perron gaat.Hard fietsen wil wel maar dan moeten je benen zo snel in de rondte. Dus misschien waren versnellingen nog handig geweest.,5,2022-04-23 22:18:04,,,"Nice and light to use. Only used a few times. But quick to assemble and not heavy. The latter is nice when you go from platform to platform. You want to cycle fast, but then your legs have to move around so quickly. So maybe gears would have been useful.",Fijn en licht in gebruik.. Nog slechts een paar keer gebruikt. Maar snel te monteren en niet zwaar. Dat laatste is prettig als je van perron naar perron gaat.Hard fietsen wil wel maar dan moeten je benen zo snel in de rondte. Dus misschien waren versnellingen nog handig geweest.,Biking,19,19,Bikes,7.510776,3.9007027,13.907534,-2.532998,-6.6434317
3,4,4,4,HA1hrRKOLMuHYhBa9XE3yUf2ngwdra+aPhwPlHkjh20=,1,10,256.0,offline,sale,FOLDING BIKE OXYLANE TILT 500E BLACK,ELECT FOLD BIKE,URBAN/FOLDING B,1,849.99,HA1hrRKOLMuHYhBa9XE3yUf2ngwdra+aPhwPlHkjh20=,,"Goede ervaring, moesten alleen steeds lang wachten. De fiets bevalt goed",4,2022-01-19 09:53:29,,,". Good experience, just had to wait a long time. I like the bike very much",". Goede ervaring, moesten alleen steeds lang wachten. De fiets bevalt goed",Biking,0,0,Bikes,8.667493,4.394969,13.94416,-3.6093645,-5.7107253
4,7,7,7,dK+tT1Xk0bdIGqvPANyesMXkVj1jRq5bI0KS5EDQfbw=,1,10,664.0,offline,sale,FOLDING BIKE OXYLANE 120 GREY,COMPACT BIKE,URBAN/FOLDING B,2,579.98,dK+tT1Xk0bdIGqvPANyesMXkVj1jRq5bI0KS5EDQfbw=,Mooie en handige vouwfiets voor een nette prijs!!,"Deskundig en behulpzaam personeel, Top Decathlon Best",5,2022-05-31 21:04:19,,,"Beautiful and handy folding bike for a fair price!!. Knowledgeable and helpful staff, Top Decathlon Best","Mooie en handige vouwfiets voor een nette prijs!!. Deskundig en behulpzaam personeel, Top Decathlon Best",Biking,19,19,Bikes,7.728908,4.1964617,13.886381,-2.6563504,-6.3521914
5,8,8,8,dK+tT1Xk0bdIGqvPANyesMXkVj1jRq5bI0KS5EDQfbw=,1,10,664.0,offline,sale,FOLDING BIKE OXYLANE 120 GREY,COMPACT BIKE,URBAN/FOLDING B,2,579.98,dK+tT1Xk0bdIGqvPANyesMXkVj1jRq5bI0KS5EDQfbw=,,"Super vriendelijk en behulpzaam personeel, Top Decathlon Best",5,2022-05-31 21:02:17,,,". Super friendly and helpful staff, Top Decathlon Best",". Super vriendelijk en behulpzaam personeel, Top Decathlon Best",Biking,18,18,Store and Staff,9.858597,6.649947,13.852585,-5.5074325,-4.421587
6,25,25,25,AiaptOcZf3V1rdwneV2ag4eBJNNDo6nfcCvdw52nWfE=,1,2,70.0,online,sale,CITY EBIKE ELOPS 120E LF,ELEC URBAN BIKE,URBAN/FOLDING B,1,799.99,AiaptOcZf3V1rdwneV2ag4eBJNNDo6nfcCvdw52nWfE=,Milieucruiser,"Sinds ik de fiets heb neem ik de auto niet meer mee naar mijn werk, ik ben er sneller en krijg lichaamsbeweging en geniet van de frisse lucht :milky_way: top…Top!",5,2023-08-14 15:16:39,,,"Environmental cruiser. Since I got the bike, I no longer take the car to work, I get there faster, get exercise and enjoy the fresh air :milky_way: great…Great!","Milieucruiser. Sinds ik de fiets heb neem ik de auto niet meer mee naar mijn werk, ik ben er sneller en krijg lichaamsbeweging en geniet van de frisse lucht :milky_way: top…Top!",Biking,19,19,Bikes,7.1775517,3.7271066,13.964742,-2.2516315,-6.76307
7,26,26,26,ypcNouDBsoNJcjQrPGKs/Un6Ms/N0bAQOBty9Hze10U=,1,10,1185.0,offline,sale,BASE KICKSTAND 500 ADULT 26-28,BIKE KICKSTANDS,BIKE ACCESSORIE,1,13.99,ypcNouDBsoNJcjQrPGKs/Un6Ms/N0bAQOBty9Hze10U=,Super,Heel mooi spullen,5,2022-02-05 18:34:47,,,Super. Very nice stuff,Super. Heel mooi spullen,Biking,6,6,Good product,6.9171844,6.153495,6.3337555,-1.222267,5.834907
8,27,27,27,7DgohaVOeKSEg/ced9PvraauKC/8PY6l5DnlBr4ZlEU=,1,8,2094.0,offline,sale,MTB HYDRA BAG EXPLORE 7L/2L TURQ.,MTB WATERBAGS,BIKE ACCESSORIE,1,34.99,7DgohaVOeKSEg/ced9PvraauKC/8PY6l5DnlBr4ZlEU=,Mooi product,Fijn in gebruik kwaliteit ook goed,5,2022-12-14 20:20:29,,,"Nice product. Easy to use, quality also good",Mooi product. Fijn in gebruik kwaliteit ook goed,Biking,17,17,Price-Quality Ratio,9.381489,6.9107256,10.503642,-3.1512728,-0.82453907
9,32,32,32,5B1DR03MbKqsyEPI6tMoqLUq3iT5EIFxbRKD5lXi0JA=,1,10,1088.0,offline,sale,ROADR 520 CAP BLK,MID-S HEAD BAND,ROAD BIKE AND E,1,9.99,5B1DR03MbKqsyEPI6tMoqLUq3iT5EIFxbRKD5lXi0JA=,,Was teruggegaan voor een garantiekwestie en werd prima geholpen.Bedankt voor de prettige ervaring,5,2023-05-07 12:46:39,,,. Went back for a warranty issue and received excellent help. Thank you for the pleasant experience,. Was teruggegaan voor een garantiekwestie en werd prima geholpen.Bedankt voor de prettige ervaring,Biking,9,9,Delivery,10.592731,7.865432,8.940551,-4.0240335,1.2123661
10,33,33,33,qHoKG1xKt5PDhQws8cAIkZ5J+TZlButFtmWwhK87LTQ=,1,10,1570.0,offline,sale,COLD WEATHER LEG WARMER,ROAD ARM/LEG,ROAD BIKE AND E,1,19.99,qHoKG1xKt5PDhQws8cAIkZ5J+TZlButFtmWwhK87LTQ=,,Decathlon is een prima winkel voor als je spullen wilt kopen van een prima kwaliteit en  bijvoorbeeld meerdere sporten beoefend je  voor een redelijk goede prijs kunt kopen.,4,2023-03-25 08:57:58,,,". Decathlon is a great store if you want to buy items of excellent quality and, for example, if you practice multiple sports, you can buy them for a reasonably good price.",. Decathlon is een prima winkel voor als je spullen wilt kopen van een prima kwaliteit en  bijvoorbeeld meerdere sporten beoefend je  voor een redelijk goede prijs kunt kopen.,Biking,18,18,Store and Staff,9.778602,6.736887,13.877526,-5.464884,-4.4178543
11,34,34,34,yvKto+gzUJir8wpecwl7q71d+G9emH/O6qu6e26hjX0=,1,10,1161.0,offline,sale,RAIN JACKET ROADR 900 LIGHT M JACKET BLK,RAIN WIN CUT RD,ROAD BIKE AND E,1,39.99,yvKto+gzUJir8wpecwl7q71d+G9emH/O6qu6e26hjX0=,Goed zittende regenjas,Goed zittende regenjas Goed waterdicht tot een bepaalde bui,5,2023-09-21 17:59:55,,,Well-fitting raincoat. Well-fitting raincoat Well waterproof up to a certain shower,Goed zittende regenjas. Goed zittende regenjas Goed waterdicht tot een bepaalde bui,Biking,5,5,Bike Clothing,6.222798,9.062902,12.673638,0.97413725,-2.0752215
12,45,45,45,gkc4F3oCTuSvn/5qB+DEJ+lVZy00nhW5uG+7VPLROuE=,1,10,1089.0,offline,sale,CITY EBIKE ELOPS 120E LF,ELEC URBAN BIKE,URBAN/FOLDING B,1,799.99,gkc4F3oCTuSvn/5qB+DEJ+lVZy00nhW5uG+7VPLROuE=,Perfect,"easy to drive, very helpful",5,2022-06-13 09:20:06,,,"Perfect. easy to drive, very helpful","Perfect. easy to drive, very helpful",Biking,17,17,Price-Quality Ratio,9.0450945,6.686044,10.888927,-2.917434,-1.3266975
13,60,60,60,kmMeKd8cmDdXS7CmAQhbXXU9wMytmeGoS6Gva9qIyPo=,1,10,2095.0,offline,sale,ADULT KICKSTAND 300,BIKE KICKSTANDS,BIKE ACCESSORIE,1,7.99,kmMeKd8cmDdXS7CmAQhbXXU9wMytmeGoS6Gva9qIyPo=,,Slecht geholpen met klacht van kastje naar de muur gestuurd. Lang wachten. Personeel skipped je volledig,1,2022-06-02 12:48:02,,,. Poor help with complaint sent from pillar to post. To wait long. Staff skipped you completely,. Slecht geholpen met klacht van kastje naar de muur gestuurd. Lang wachten. Personeel skipped je volledig,Biking,1,1,Store and Staff,12.582103,7.4625926,7.994173,-6.0239778,2.807897
14,73,73,73,JumXGlhKSAcq3T2sXIPTr85L1nnH0lA5Z3/BdjZBsh8=,1,8,896.0,offline,sale,MTB HELMET ST 500 BLUE,HELMET MTB,MTB BIKES AND E,1,27.99,JumXGlhKSAcq3T2sXIPTr85L1nnH0lA5Z3/BdjZBsh8=,,"Goede service ,een mooie fiets in de aanbieding gekocht.",5,2023-02-10 15:45:38,,,". Good service, bought a nice bike on sale.",". Goede service ,een mooie fiets in de aanbieding gekocht.",Biking,0,0,Bikes,8.733103,4.2902927,13.746166,-3.7023666,-5.9239964
15,74,74,74,0XdGY9IFj1mIV8fKbpNsFxm26ku3gDSZ9FjL1cAbOXk=,1,10,256.0,offline,sale,SHORT RC500 NB BLACK,GAR SUM RD M,ROAD BIKE AND E,1,39.99,0XdGY9IFj1mIV8fKbpNsFxm26ku3gDSZ9FjL1cAbOXk=,Veel comfortabeler tijdens lange ritten,"Zit erg lekker en geeft meer comfort bij lange ritten. Echter heeft de zeem wat bewegingsvrijheid, waardoor ik soms aan de voorzijde iet wat weinig bescherming heb en soms een extra stukje zeem",4,2023-08-20 12:14:05,,,"Much more comfortable on long journeys. Very comfortable and provides more comfort on long rides. However, the chamois has some freedom of movement, so I sometimes have little protection at the front and sometimes an extra piece of chamois","Veel comfortabeler tijdens lange ritten. Zit erg lekker en geeft meer comfort bij lange ritten. Echter heeft de zeem wat bewegingsvrijheid, waardoor ik soms aan de voorzijde iet wat weinig bescherming heb en soms een extra stukje zeem",Biking,5,5,Bike Clothing,7.213888,9.239131,13.118847,0.62723666,-0.8297691
16,75,75,75,XksAKdEZi75rInQFIyKaDXmOScTrYUqxmQqIz9gMBWY=,1,10,1161.0,offline,sale,HELMET ROAD 500 YELLOW,ROAD HELMETS,ROAD BIKE AND E,1,44.99,XksAKdEZi75rInQFIyKaDXmOScTrYUqxmQqIz9gMBWY=,Mooie aantrekkelijk geprijsde helm.,"De helm is aantrekkelijk geprijsd. Het eerste opzetten vereist wat instelwerk. Ik voel de helm wel zitten op m'n hoofd, maar niet irritant.",4,2022-11-27 13:25:41,,,"Nice, attractively priced helmet. The helmet is attractively priced. The initial setup requires some adjustment. I can feel the helmet on my head, but it is not annoying.","Mooie aantrekkelijk geprijsde helm.. De helm is aantrekkelijk geprijsd. Het eerste opzetten vereist wat instelwerk. Ik voel de helm wel zitten op m'n hoofd, maar niet irritant.",Biking,14,14,Biking Gear,5.0637646,8.991488,10.756553,2.3525255,-3.779284
17,76,76,76,XksAKdEZi75rInQFIyKaDXmOScTrYUqxmQqIz9gMBWY=,1,10,1161.0,offline,sale,HELMET ROAD 500 YELLOW,ROAD HELMETS,ROAD BIKE AND E,1,44.99,XksAKdEZi75rInQFIyKaDXmOScTrYUqxmQqIz9gMBWY=,,"Ruime winkel, groot assortiment, scherpe prijzen.",5,2022-11-27 13:24:06,,,". Spacious store, wide range, competitive prices.",". Ruime winkel, groot assortiment, scherpe prijzen.",Biking,11,11,Store and Staff,12.092137,8.227386,9.82535,-5.6991467,0.75755805
