Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sanitized_transaction_id,mhy_idr_merchandise_hie,tpc_idr_touchpoint_channel_type,but_num_business_unit,the_to_type,tdt_type_detail,mdl_label,family_label,dpt_label,qty,turnover,sanitized_ticket_number,title,body,note,published_at,translated_body,translated_title,translated,text,label,topics
0,0,0,0,REYOn3bMWvjpZWAy6tBBQ/TWNRhyXokY9joak2YSTVE=,1,10,1161.0,offline,sale,BOWL CYCLING HELMET 500 BLUE,URBAN HELMET,URBAN/FOLDING B,1,39.99,REYOn3bMWvjpZWAy6tBBQ/TWNRhyXokY9joak2YSTVE=,Veilig gevoel,Prettig te dragen,5,2023-11-25 11:49:10,,,Safe feeling. Pleasant to wear,Veilig gevoel. Prettig te dragen,Biking,4
1,1,1,1,REYOn3bMWvjpZWAy6tBBQ/TWNRhyXokY9joak2YSTVE=,1,10,1161.0,offline,sale,BOWL CYCLING HELMET 500 BLUE,URBAN HELMET,URBAN/FOLDING B,1,39.99,REYOn3bMWvjpZWAy6tBBQ/TWNRhyXokY9joak2YSTVE=,,Vind het een fijne winkel en de prijzen zijn betaalbaar,5,2023-11-25 11:46:44,,,. I think it's a nice store and the prices are affordable,. Vind het een fijne winkel en de prijzen zijn betaalbaar,Biking,1
3,3,3,3,bkbm99tEsDVVuGrSH9Z7NnCCCitg2zxsN6Atlm4gvX8=,1,8,2224.0,offline,sale,FOLDING BIKE OXYLANE 100 BLACK,COMPACT BIKE,URBAN/FOLDING B,1,199.99,bkbm99tEsDVVuGrSH9Z7NnCCCitg2zxsN6Atlm4gvX8=,Fijn en licht in gebruik.,Nog slechts een paar keer gebruikt. Maar snel te monteren en niet zwaar. Dat laatste is prettig als je van perron naar perron gaat.Hard fietsen wil wel maar dan moeten je benen zo snel in de rondte. Dus misschien waren versnellingen nog handig geweest.,5,2022-04-23 22:18:04,,,"Nice and light to use. Only used a few times. But quick to assemble and not heavy. The latter is nice when you go from platform to platform. You want to cycle fast, but then your legs have to move around so quickly. So maybe gears would have been useful.",Fijn en licht in gebruik.. Nog slechts een paar keer gebruikt. Maar snel te monteren en niet zwaar. Dat laatste is prettig als je van perron naar perron gaat.Hard fietsen wil wel maar dan moeten je benen zo snel in de rondte. Dus misschien waren versnellingen nog handig geweest.,Biking,0
4,4,4,4,HA1hrRKOLMuHYhBa9XE3yUf2ngwdra+aPhwPlHkjh20=,1,10,256.0,offline,sale,FOLDING BIKE OXYLANE TILT 500E BLACK,ELECT FOLD BIKE,URBAN/FOLDING B,1,849.99,HA1hrRKOLMuHYhBa9XE3yUf2ngwdra+aPhwPlHkjh20=,,"Goede ervaring, moesten alleen steeds lang wachten. De fiets bevalt goed",4,2022-01-19 09:53:29,,,". Good experience, just had to wait a long time. I like the bike very much",". Goede ervaring, moesten alleen steeds lang wachten. De fiets bevalt goed",Biking,1
7,7,7,7,dK+tT1Xk0bdIGqvPANyesMXkVj1jRq5bI0KS5EDQfbw=,1,10,664.0,offline,sale,FOLDING BIKE OXYLANE 120 GREY,COMPACT BIKE,URBAN/FOLDING B,2,579.98,dK+tT1Xk0bdIGqvPANyesMXkVj1jRq5bI0KS5EDQfbw=,Mooie en handige vouwfiets voor een nette prijs!!,"Deskundig en behulpzaam personeel, Top Decathlon Best",5,2022-05-31 21:04:19,,,"Beautiful and handy folding bike for a fair price!!. Knowledgeable and helpful staff, Top Decathlon Best","Mooie en handige vouwfiets voor een nette prijs!!. Deskundig en behulpzaam personeel, Top Decathlon Best",Biking,6
8,8,8,8,dK+tT1Xk0bdIGqvPANyesMXkVj1jRq5bI0KS5EDQfbw=,1,10,664.0,offline,sale,FOLDING BIKE OXYLANE 120 GREY,COMPACT BIKE,URBAN/FOLDING B,2,579.98,dK+tT1Xk0bdIGqvPANyesMXkVj1jRq5bI0KS5EDQfbw=,,"Super vriendelijk en behulpzaam personeel, Top Decathlon Best",5,2022-05-31 21:02:17,,,". Super friendly and helpful staff, Top Decathlon Best",". Super vriendelijk en behulpzaam personeel, Top Decathlon Best",Biking,6
25,25,25,25,AiaptOcZf3V1rdwneV2ag4eBJNNDo6nfcCvdw52nWfE=,1,2,70.0,online,sale,CITY EBIKE ELOPS 120E LF,ELEC URBAN BIKE,URBAN/FOLDING B,1,799.99,AiaptOcZf3V1rdwneV2ag4eBJNNDo6nfcCvdw52nWfE=,Milieucruiser,"Sinds ik de fiets heb neem ik de auto niet meer mee naar mijn werk, ik ben er sneller en krijg lichaamsbeweging en geniet van de frisse lucht :milky_way: top…Top!",5,2023-08-14 15:16:39,,,"Environmental cruiser. Since I got the bike, I no longer take the car to work, I get there faster, get exercise and enjoy the fresh air :milky_way: great…Great!","Milieucruiser. Sinds ik de fiets heb neem ik de auto niet meer mee naar mijn werk, ik ben er sneller en krijg lichaamsbeweging en geniet van de frisse lucht :milky_way: top…Top!",Biking,1
26,26,26,26,ypcNouDBsoNJcjQrPGKs/Un6Ms/N0bAQOBty9Hze10U=,1,10,1185.0,offline,sale,BASE KICKSTAND 500 ADULT 26-28,BIKE KICKSTANDS,BIKE ACCESSORIE,1,13.99,ypcNouDBsoNJcjQrPGKs/Un6Ms/N0bAQOBty9Hze10U=,Super,Heel mooi spullen,5,2022-02-05 18:34:47,,,Super. Very nice stuff,Super. Heel mooi spullen,Biking,1
27,27,27,27,7DgohaVOeKSEg/ced9PvraauKC/8PY6l5DnlBr4ZlEU=,1,8,2094.0,offline,sale,MTB HYDRA BAG EXPLORE 7L/2L TURQ.,MTB WATERBAGS,BIKE ACCESSORIE,1,34.99,7DgohaVOeKSEg/ced9PvraauKC/8PY6l5DnlBr4ZlEU=,Mooi product,Fijn in gebruik kwaliteit ook goed,5,2022-12-14 20:20:29,,,"Nice product. Easy to use, quality also good",Mooi product. Fijn in gebruik kwaliteit ook goed,Biking,0
32,32,32,32,5B1DR03MbKqsyEPI6tMoqLUq3iT5EIFxbRKD5lXi0JA=,1,10,1088.0,offline,sale,ROADR 520 CAP BLK,MID-S HEAD BAND,ROAD BIKE AND E,1,9.99,5B1DR03MbKqsyEPI6tMoqLUq3iT5EIFxbRKD5lXi0JA=,,Was teruggegaan voor een garantiekwestie en werd prima geholpen.Bedankt voor de prettige ervaring,5,2023-05-07 12:46:39,,,. Went back for a warranty issue and received excellent help. Thank you for the pleasant experience,. Was teruggegaan voor een garantiekwestie en werd prima geholpen.Bedankt voor de prettige ervaring,Biking,2
33,33,33,33,qHoKG1xKt5PDhQws8cAIkZ5J+TZlButFtmWwhK87LTQ=,1,10,1570.0,offline,sale,COLD WEATHER LEG WARMER,ROAD ARM/LEG,ROAD BIKE AND E,1,19.99,qHoKG1xKt5PDhQws8cAIkZ5J+TZlButFtmWwhK87LTQ=,,Decathlon is een prima winkel voor als je spullen wilt kopen van een prima kwaliteit en  bijvoorbeeld meerdere sporten beoefend je  voor een redelijk goede prijs kunt kopen.,4,2023-03-25 08:57:58,,,". Decathlon is a great store if you want to buy items of excellent quality and, for example, if you practice multiple sports, you can buy them for a reasonably good price.",. Decathlon is een prima winkel voor als je spullen wilt kopen van een prima kwaliteit en  bijvoorbeeld meerdere sporten beoefend je  voor een redelijk goede prijs kunt kopen.,Biking,6
