,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,sanitized_transaction_id,mhy_idr_merchandise_hie,tpc_idr_touchpoint_channel_type,but_num_business_unit,the_to_type,tdt_type_detail,mdl_label,family_label,dpt_label,qty,turnover,sanitized_ticket_number,title,body,note,published_at,translated_body,translated_title,translated,text,label,topics,topic,topic_name,x,y,z,x1,y1
0,23,23,23,vL+9zoWcG5YHEPTNPHMDd8RUUtEO8ID9PlDF28Tdji0=,2,2,70.0,online,sale,TIGHT LINEAR BLACK&WHITE 21/22,WOMAN TS LEGG,FITNESS TRAININ,1,19.99,vL+9zoWcG5YHEPTNPHMDd8RUUtEO8ID9PlDF28Tdji0=,Alles prima,Fijne legging.,5,2022-06-06 21:26:57,,,Everything fine. Nice leggings.,Alles prima. Fijne legging.,Fitness and Yoga,9,9,Fitness Clothing,10.240266,4.2797227,6.60692,7.9305687,-2.2737887
1,24,24,24,snxKjpSEfw60Y7n4K4EI7l4eIvpGqGA2kgcmb6bPrVM=,1,2,70.0,online,sale,BENCH 900,BODYBUILDING EQ,MUSCLE & CROSS,1,149.99,snxKjpSEfw60Y7n4K4EI7l4eIvpGqGA2kgcmb6bPrVM=,"super goed bankje, precies zoals verwacht.","stevig, makkelijk in elkaar te zetten, makkelijk te verplaatsen",5,2023-05-20 10:03:42,,,"super good bench, exactly as expected.. sturdy, easy to assemble, easy to move","super goed bankje, precies zoals verwacht.. stevig, makkelijk in elkaar te zetten, makkelijk te verplaatsen",Fitness and Yoga,8,8,Fitness Gear,11.085773,0.5167413,7.4265466,6.936039,3.5567946
2,28,28,28,rAzFYJl/9+WJdyh0Z6Iqatq8griDNM4xW2Vraz6LHOI=,1,10,664.0,offline,sale,FST 120 STRETCH M SHORTS BLK,FIT BEG M OUTFI,FITNESS TRAININ,1,9.99,rAzFYJl/9+WJdyh0Z6Iqatq8griDNM4xW2Vraz6LHOI=,Prima broek voor nog geen 10 euro,"Zit lekker, droogt snel en zit lekker luchtig.",4,2022-08-04 20:37:33,,,"Great pants for less than 10 euros. Fits comfortably, dries quickly and is nice and airy.","Prima broek voor nog geen 10 euro. Zit lekker, droogt snel en zit lekker luchtig.",Fitness and Yoga,13,13,Fitness Clothing,9.356555,5.352953,7.768273,9.414642,-1.8508224
3,63,63,63,a0Beh5Y0PUhAYXwdhF0sz/ulIoM4FoxXZpNjfk2TAJQ=,1,10,1186.0,offline,sale,SWEAT BELT,FIT BOTTL TOWEL,FITNESS TRAININ,1,6.99,a0Beh5Y0PUhAYXwdhF0sz/ulIoM4FoxXZpNjfk2TAJQ=,Te rekbaar rubber. Niet steak genoeg,Weggelegd in de kast,2,2023-03-02 09:33:43,,,Rubber that is too stretchy. Not enough steak. Put away in the cupboard,Te rekbaar rubber. Niet steak genoeg. Weggelegd in de kast,Fitness and Yoga,1,1,Size-Fit Evaluation,9.598342,3.5873501,6.906939,7.97915,-1.0963432
4,64,64,64,gqyxsew809R3DLMNGY2a4F74MkpzI540N/+e5i9fWCM=,2,10,1089.0,offline,sale,TROUSER ADI TRAIN BLACK,FIT BEG M OUTFI,FITNESS TRAININ,2,69.98,gqyxsew809R3DLMNGY2a4F74MkpzI540N/+e5i9fWCM=,,Grote  mooie ruinte.verschillend aanbod minder overzichtelijk als in best.,4,2023-12-14 01:10:15,,,. Large beautiful ruins. Different offerings less clear as in the best.,. Grote  mooie ruinte.verschillend aanbod minder overzichtelijk als in best.,Fitness and Yoga,6,6,Store and Staff,6.4768705,-1.3733131,8.279222,12.926866,2.3150856
5,65,65,65,bjQHevuE7OJVZOddjmequaWy8qKBebLoRlm6O+qvxTA=,1,10,1186.0,offline,sale,T SHIRT 120 SOLID GREEN,FIT BEG M OUTFI,FITNESS TRAININ,1,5.99,bjQHevuE7OJVZOddjmequaWy8qKBebLoRlm6O+qvxTA=,N.v.t.,N.v.t,3,2023-03-21 07:40:17,,,N.v.t.. N.v.t,N.v.t.. N.v.t,Fitness and Yoga,7,7,Unknown,5.7475705,18.819275,8.215966,5.938392,20.166822
6,66,66,66,oaaYcNS/n9re0Hwzi3hFW3LmbsLCsn0w65mMHqpxzyU=,1,10,1161.0,offline,sale,SHORT 120 M DRN,FIT BEG M OUTFI,FITNESS TRAININ,1,11.99,oaaYcNS/n9re0Hwzi3hFW3LmbsLCsn0w65mMHqpxzyU=,,"Mooi wandelbroekje gescoord, voor een leuke prijs.",5,2023-07-19 12:40:10,,,. Got some nice walking pants for a nice price.,". Mooi wandelbroekje gescoord, voor een leuke prijs.",Fitness and Yoga,13,13,Fitness Clothing,9.376447,5.2945247,7.911027,9.61844,-1.7763027
7,72,72,72,ilpWSRjdvVni/xH/pLYHXwwnFMnBtIlBX5J8jUDZ9nk=,1,10,664.0,offline,sale,SOFT 140 JR FULL BLACK,JUNIOR MULTISPO,KIDS SPORTIVE E,1,17.99,ilpWSRjdvVni/xH/pLYHXwwnFMnBtIlBX5J8jUDZ9nk=,Goed!,Mijn zoon is blij met zijn gymschoenen.,4,2023-10-21 10:14:23,,,Good!. My son is happy with his sneakers.,Goed!. Mijn zoon is blij met zijn gymschoenen.,Fitness and Yoga,10,10,Fitness Clothing,10.936346,1.8991511,4.7588,5.1155186,2.5991397
8,102,102,102,zP4GkCv+kd/8c+brO0yZiNQDr04QI+iBCvpytTKERE0=,1,10,1089.0,offline,sale,KIT 20KG THREATED,WEIGHTS,MUSCLE & CROSS,1,54.99,zP4GkCv+kd/8c+brO0yZiNQDr04QI+iBCvpytTKERE0=,,Een fijne winkel voor zowel de beginnende als de wat ervaren sporter .,4,2023-10-28 10:54:44,,,. A nice store for both the novice and the experienced athlete.,. Een fijne winkel voor zowel de beginnende als de wat ervaren sporter .,Fitness and Yoga,16,16,Store and Staff,7.0390577,0.3097515,7.1944733,10.78238,1.4358703
9,109,109,109,Y0r/PlF7Po0PAl1VRUoyY3HSeAY+kentFpjSaqt2ZeA=,1,10,256.0,offline,sale,FIT TRAMPO100,FIT TRAMPOLIN,FITNESS TRAININ,1,49.99,Y0r/PlF7Po0PAl1VRUoyY3HSeAY+kentFpjSaqt2ZeA=,,Kreeg bericht dat mijn bestelling er was. In de winkel was het er nog niet. Vier artikelen op voorraad in de winkel. Vroeg of ik er eentje uit de winkel kon krijgen. Aangezien er nog vier waren. Maar dat kon niet.,3,2022-10-24 15:58:33,,,. Received a message that my order had arrived. It wasn't there in the store yet. Four items in stock in the store. Asked if I could get one from the store. Since there were four more. But that wasn't possible.,. Kreeg bericht dat mijn bestelling er was. In de winkel was het er nog niet. Vier artikelen op voorraad in de winkel. Vroeg of ik er eentje uit de winkel kon krijgen. Aangezien er nog vier waren. Maar dat kon niet.,Fitness and Yoga,0,0,Delivery,6.639889,0.65646636,9.742301,12.191733,4.798839
