,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,sanitized_transaction_id,mhy_idr_merchandise_hie,tpc_idr_touchpoint_channel_type,but_num_business_unit,the_to_type,tdt_type_detail,mdl_label,family_label,dpt_label,qty,turnover,sanitized_ticket_number,title,body,note,published_at,translated_body,translated_title,translated,text,label,topics,topic_name,x,y,z,x1,y1
0,22,22,22,QJ1Bg/v5vp1lY1LdIQK8dSpPcS4tPG9pGGmZsXv9cqs=,1,10,2093.0,offline,sale,HENDAIA NT DARK BLUE,MEN'S BS BEGIN,SURF BODYBOARD,1,3.99,QJ1Bg/v5vp1lY1LdIQK8dSpPcS4tPG9pGGmZsXv9cqs=,,"Het is wisselen van Collectie, enerzijd leuk voor koopjes, anderzijds, tijdfelijk veel lege schappen.",4,2022-09-15 12:32:24,,,". It's changing collections, on the one hand it's fun for bargains, on the other hand there are a lot of empty shelves for a while.",". Het is wisselen van Collectie, enerzijd leuk voor koopjes, anderzijds, tijdfelijk veel lege schappen.",Water Sports,0,Store Service Staff,8.658107,-4.448621,8.493757,9.384002,2.3871546
1,41,41,41,XByMywUOUOEJN3IxayGiaO4xUdSMoZyHuzQgqvj263s=,1,10,1088.0,offline,sale,1P ROMI FULL NICK BLUE GREEN **,AQUAGYM AQUABIK,SWIMMING AQUAGY,1,29.99,XByMywUOUOEJN3IxayGiaO4xUdSMoZyHuzQgqvj263s=,Fijn badpak,"Mooi dikke stof, mooie kwaliteit, zeker voor deze prijs",5,2022-05-14 10:32:21,,,"Nice swimsuit. Nice thick fabric, nice quality, especially for this price","Fijn badpak. Mooi dikke stof, mooie kwaliteit, zeker voor deze prijs",Water Sports,2,Size-Fit Evaluation,7.6293173,1.4081085,14.610787,11.906105,-6.7716484
2,42,42,42,XByMywUOUOEJN3IxayGiaO4xUdSMoZyHuzQgqvj263s=,1,10,1088.0,offline,sale,1P ROMI FULL NICK BLUE GREEN **,AQUAGYM AQUABIK,SWIMMING AQUAGY,1,29.99,XByMywUOUOEJN3IxayGiaO4xUdSMoZyHuzQgqvj263s=,,Zeer onvriendelijk personeel bij de klantenservice,1,2022-05-14 10:31:19,,,. Very unfriendly customer service staff,. Zeer onvriendelijk personeel bij de klantenservice,Water Sports,0,Store Service Staff,9.400982,-3.9872782,7.8441873,9.607015,3.388941
3,58,58,58,AJPWJ20AGLhuF3LhEd3NPtQ79f2PjdzVuRuVw+iRy7I=,1,10,2224.0,offline,sale,SET BTR 160 OV ORANGE,BEACH TENNIS,SURF BODYBOARD,1,24.99,AJPWJ20AGLhuF3LhEd3NPtQ79f2PjdzVuRuVw+iRy7I=,,Het was erg druk en konden slecht vinden wat we wilden kopen.,4,2022-06-28 11:24:03,,,. It was very busy and we had difficulty finding what we wanted to buy.,. Het was erg druk en konden slecht vinden wat we wilden kopen.,Water Sports,0,Store Service Staff,8.816798,-3.955574,8.303481,9.8896055,2.6727798
4,87,87,87,abGIV/ak+sbZVtv4VStkItchOPOxzaihbVXoGU27CCs=,1,10,2225.0,offline,sale,SWIMSHORT 100 BASIC YELLOW OS**,M'S SWIMSUITS,SWIMMING AQUAGY,1,7.99,abGIV/ak+sbZVtv4VStkItchOPOxzaihbVXoGU27CCs=,Mooi en goedkoop,Mooie zwembroek van een goede kwaliteit. Echter komt de maat totaal niet overeen. Ik moest een maat groter kopen. En mijn vriendin heeft een M en kon deze broek nog zelfs aan. Het betrof een XL,4,2022-06-28 10:21:10,,,"Nice and cheap. Nice swimming trunks of good quality. However, the size does not match at all. I had to buy a size bigger. And my girlfriend has an M and could even wear these pants. It was an XL",Mooi en goedkoop. Mooie zwembroek van een goede kwaliteit. Echter komt de maat totaal niet overeen. Ik moest een maat groter kopen. En mijn vriendin heeft een M en kon deze broek nog zelfs aan. Het betrof een XL,Water Sports,0,Store Service Staff,5.268069,1.352242,14.282797,11.095943,7.871933
5,88,88,88,abGIV/ak+sbZVtv4VStkItchOPOxzaihbVXoGU27CCs=,1,10,2225.0,offline,sale,SWIMSHORT 100 BASIC YELLOW OS**,M'S SWIMSUITS,SWIMMING AQUAGY,1,7.99,abGIV/ak+sbZVtv4VStkItchOPOxzaihbVXoGU27CCs=,,"Er was geen personeel te vinden (buiten de kassa's om). En alles wat wij nodig hadden( matrassen), was uitverkocht.",3,2022-06-28 10:19:08,,,. There was no staff to be found (other than the cash registers). And everything we needed (mattresses) was sold out.,". Er was geen personeel te vinden (buiten de kassa's om). En alles wat wij nodig hadden( matrassen), was uitverkocht.",Water Sports,0,Store Service Staff,9.43417,-4.2749267,7.904279,9.393596,3.3121457
6,93,93,93,yJaiQLN5fxBEscHGLss2OIjXZKPAAgEDBaqfbTJM+5o=,1,8,256.0,offline,sale,BA 50N+ BUOYANCY VEST ORANGE,BUOYANCY AIDS,STAND UP KAYAK,1,32.99,yJaiQLN5fxBEscHGLss2OIjXZKPAAgEDBaqfbTJM+5o=,"Was geen zwemvest,maar een reddingvest,geen goeie","Kwam voor verrassingen te staan met me zoon bij preston palace, werd het water uitgezet,omdat het geen zwemvest was,maar een reddingvest. Die meneer die mij geholpen had zei nog dat het een zwemvest was. Boos was ik daar en helemaal ontevreden.  Voor nul zover gereden en mijn kind heeft niet genoten.  Vreselijk met die meneer die mij geholpen had 0,0 geeft ik als scoor. Kan helemaal niks met die vest nu. Zo duur heb ik ervoor betaald.",1,2022-08-15 10:25:14,,,"Wasn't a life jacket, but a life jacket, not a good one. Had a surprise with my son at Preston Palace, the water was turned off because it was not a life jacket, but a life jacket. The gentleman who helped me said it was a life jacket. I was angry there and completely dissatisfied. Drove this far for zero and my child did not enjoy it. Terrible with that gentleman who helped me, I give a score of 0.0. Can't do anything with that vest now. That's how much I paid for it.","Was geen zwemvest,maar een reddingvest,geen goeie. Kwam voor verrassingen te staan met me zoon bij preston palace, werd het water uitgezet,omdat het geen zwemvest was,maar een reddingvest. Die meneer die mij geholpen had zei nog dat het een zwemvest was. Boos was ik daar en helemaal ontevreden.  Voor nul zover gereden en mijn kind heeft niet genoten.  Vreselijk met die meneer die mij geholpen had 0,0 geeft ik als scoor. Kan helemaal niks met die vest nu. Zo duur heb ik ervoor betaald.",Water Sports,2,Size-Fit Evaluation,8.685217,1.7867621,13.114075,11.324777,-5.2172227
7,103,103,103,4dHN9VA9LtyKTLYax3m9H/hCzbwWkRVesjdUUOibTiI=,1,10,664.0,offline,sale,HENDAIA NT DARK BLUE,MEN'S BS BEGIN,SURF BODYBOARD,1,4.99,4dHN9VA9LtyKTLYax3m9H/hCzbwWkRVesjdUUOibTiI=,,Vonden wat we zochten,4,2022-07-27 10:35:24,,,. Found what we were looking for,. Vonden wat we zochten,Water Sports,0,Store Service Staff,9.078106,-3.2179239,8.857228,9.805871,1.6849685
8,133,133,133,5JWr4zDac8WpG0A9DvenD5TrfK8G0DOV2kkUOMA08yo=,1,10,2226.0,offline,sale,UVTOP100L M TOP WHT,M SUN PROTEC,SURF BODYBOARD,1,14.99,5JWr4zDac8WpG0A9DvenD5TrfK8G0DOV2kkUOMA08yo=,Nog iets meer rek in de mouw,"Deze maat voelt prettig op de huis, maar mag nog iets elastischer bij het aantrekken. Tevens zou ik het ook fijn vinden als de mouwen  over de handen heen getrokken konden worden.",4,2023-06-25 00:04:12,,,"A little more stretch in the sleeve. This size feels nice on the body, but could be a little more elastic when putting it on. I would also like it if the sleeves could be pulled over the hands.","Nog iets meer rek in de mouw. Deze maat voelt prettig op de huis, maar mag nog iets elastischer bij het aantrekken. Tevens zou ik het ook fijn vinden als de mouwen  over de handen heen getrokken konden worden.",Water Sports,3,Water Sports Gear,7.611933,1.2943672,12.472273,11.769937,-5.113852
9,134,134,134,Gj0rLg+k4VN8AH+71g7rHxR40/Y2EQao5iU/XcJ1Ygk=,1,10,2225.0,offline,sale,SPRAY ACTIVE SPF 30 50 ML,SUN CREAMS,SURF BODYBOARD,1,5.99,Gj0rLg+k4VN8AH+71g7rHxR40/Y2EQao5iU/XcJ1Ygk=,,"Fijne winkel, ruim assortiment tegen betaalbare prijzen",5,2023-07-17 08:22:02,,,". Nice store, wide range at affordable prices",". Fijne winkel, ruim assortiment tegen betaalbare prijzen",Water Sports,0,Store Service Staff,8.950276,-4.7186704,9.488801,8.256514,1.9448451
