label,the_date_transaction,turnover
Archery,2022-01-01,1048.3799999999999
Archery,2022-01-02,1880.67
Archery,2022-01-03,3155.8
Archery,2022-01-04,2212.29
Archery,2022-01-05,2099.5
Archery,2022-01-06,1691.19
Archery,2022-01-07,1609.74
Archery,2022-01-08,2410.36
Archery,2022-01-09,1238.78
Archery,2022-01-10,1775.6
Archery,2022-01-11,2109.53
Archery,2022-01-12,1339.48
Archery,2022-01-13,1005.31
Archery,2022-01-14,922.34
Archery,2022-01-15,6339.54
Archery,2022-01-16,6005.28
Archery,2022-01-17,2959.32
Archery,2022-01-18,3035.69
Archery,2022-01-19,3318.79
Archery,2022-01-20,2570.91
Archery,2022-01-21,4897.8
Archery,2022-01-22,8880.71
Archery,2022-01-23,4726.04
Archery,2022-01-24,3263.01
Archery,2022-01-25,3800.69
Archery,2022-01-26,4140.17
Archery,2022-01-27,3797.67
Archery,2022-01-28,4141.76
Archery,2022-01-29,7614.0
Archery,2022-01-30,5900.69
Archery,2022-01-31,2998.2799999999997
Archery,2022-02-01,2353.38
Archery,2022-02-02,3334.8
Archery,2022-02-03,3156.72
Archery,2022-02-04,3992.01
Archery,2022-02-05,7088.73
Archery,2022-02-06,4198.98
Archery,2022-02-07,2657.44
Archery,2022-02-08,2673.24
Archery,2022-02-09,2764.8
Archery,2022-02-10,3476.05
Archery,2022-02-11,3997.44
Archery,2022-02-12,5645.25
Archery,2022-02-13,4684.65
Archery,2022-02-14,2243.56
Archery,2022-02-15,3223.44
Archery,2022-02-16,2926.25
Archery,2022-02-17,1957.94
Archery,2022-02-18,1996.57
Archery,2022-02-19,4743.92
Archery,2022-02-20,4037.35
Archery,2022-02-21,2451.02
Archery,2022-02-22,3226.91
Archery,2022-02-23,2577.95
Archery,2022-02-24,3435.16
Archery,2022-02-25,3503.52
Archery,2022-02-26,4570.18
Archery,2022-02-27,4107.07
Archery,2022-02-28,3407.4900000000002
Archery,2022-03-01,3258.64
Archery,2022-03-02,2926.06
Archery,2022-03-03,3909.28
Archery,2022-03-04,3895.17
Archery,2022-03-05,4186.81
Archery,2022-03-06,3680.55
Archery,2022-03-07,2121.99
Archery,2022-03-08,1861.49
Archery,2022-03-09,2449.13
Archery,2022-03-10,3045.92
Archery,2022-03-11,2966.84
Archery,2022-03-12,4689.72
Archery,2022-03-13,4440.72
Archery,2022-03-14,2042.68
Archery,2022-03-15,1793.53
Archery,2022-03-16,2696.23
Archery,2022-03-17,2916.75
Archery,2022-03-18,3649.28
Archery,2022-03-19,5271.16
Archery,2022-03-20,3425.41
Archery,2022-03-21,2627.1
